that -> EDAT (Standard Braille Order, Individual Reading Order)
buy -> VCHGG (Merged Reading Order, Individual Reading Order)
post -> RDCC (Standard Braille Order, Individual Reading Order)
post -> VCO (Standard Braille Order, Merged Reading Order)
post -> GLCC (Individual Reading Order, Standard Braille Order)
post -> EDEL (Individual Reading Order, Merged Reading Order)
post -> FANDEA (Merged Reading Order, Standard Braille Order)
post -> EDEL (Merged Reading Order, Individual Reading Order)
add -> AFF (Standard Braille Order, Individual Reading Order)
add -> AOO (Individual Reading Order, Standard Braille Order)
such -> FFWHCH (Standard Braille Order, Individual Reading Order)
such -> FFAX (Standard Braille Order, Merged Reading Order)
such -> JGHCH (Individual Reading Order, Standard Braille Order)
such -> SAOU (Individual Reading Order, Merged Reading Order)
such -> SAOU (Merged Reading Order, Individual Reading Order)
best -> KCCC (Standard Braille Order, Individual Reading Order)
best -> CKCC (Individual Reading Order, Standard Braille Order)
where -> SHANDC (Standard Braille Order, Individual Reading Order)
where -> NTHEI (Standard Braille Order, Merged Reading Order)
where -> UYK (Individual Reading Order, Standard Braille Order)
info -> BBDL (Individual Reading Order, Standard Braille Order)
info -> FFOWK (Individual Reading Order, Merged Reading Order)
info -> FFOK (Merged Reading Order, Standard Braille Order)
info -> FFOWK (Merged Reading Order, Individual Reading Order)
high -> MBBU (Standard Braille Order, Individual Reading Order)
very -> ZANDER (Standard Braille Order, Individual Reading Order)
very -> YXER (Standard Braille Order, Merged Reading Order)
very -> EDYOF (Individual Reading Order, Standard Braille Order)
very -> OFOUY (Individual Reading Order, Merged Reading Order)
very -> QZWITH (Merged Reading Order, Standard Braille Order)
very -> OFOUY (Merged Reading Order, Individual Reading Order)
read -> WHVA (Standard Braille Order, Merged Reading Order)
read -> UEDA (Individual Reading Order, Merged Reading Order)
read -> NCHK (Merged Reading Order, Standard Braille Order)
read -> UEDA (Merged Reading Order, Individual Reading Order)
sex -> FFCOU (Standard Braille Order, Individual Reading Order)
sex -> GGCWH (Standard Braille Order, Merged Reading Order)
sex -> JKOU (Individual Reading Order, Standard Braille Order)
sex -> THEEU (Individual Reading Order, Merged Reading Order)
sex -> SXEN (Merged Reading Order, Standard Braille Order)
sex -> THEEU (Merged Reading Order, Individual Reading Order)
need -> GCV (Standard Braille Order, Individual Reading Order)
need -> OFJCH (Standard Braille Order, Merged Reading Order)
need -> RKTH (Individual Reading Order, Standard Braille Order)
need -> ANDARCH (Individual Reading Order, Merged Reading Order)
need -> VSHGH (Merged Reading Order, Standard Braille Order)
need -> ANDARCH (Merged Reading Order, Individual Reading Order)
user -> WHFFAND (Standard Braille Order, Individual Reading Order)
user -> GHJY (Individual Reading Order, Standard Braille Order)
user -> ZOUING (Merged Reading Order, Standard Braille Order)
set -> FFCT (Standard Braille Order, Individual Reading Order)
set -> JKT (Individual Reading Order, Standard Braille Order)
set -> OWZK (Individual Reading Order, Merged Reading Order)
set -> OWXBB (Merged Reading Order, Standard Braille Order)
set -> OWZK (Merged Reading Order, Individual Reading Order)
know -> OUINGH (Individual Reading Order, Merged Reading Order)
know -> GHOUEN (Merged Reading Order, Standard Braille Order)
know -> OUINGH (Merged Reading Order, Individual Reading Order)
way -> THEAER (Standard Braille Order, Individual Reading Order)
way -> THESHING (Individual Reading Order, Merged Reading Order)
way -> SINGX (Merged Reading Order, Standard Braille Order)
way -> THESHING (Merged Reading Order, Individual Reading Order)
part -> RJT (Standard Braille Order, Individual Reading Order)
part -> EDTHO (Standard Braille Order, Merged Reading Order)
part -> GFFT (Individual Reading Order, Standard Braille Order)
part -> THZL (Individual Reading Order, Merged Reading Order)
part -> SHFORBB (Merged Reading Order, Standard Braille Order)
part -> THZL (Merged Reading Order, Individual Reading Order)
real -> ERE (Standard Braille Order, Merged Reading Order)
real -> KPK (Individual Reading Order, Merged Reading Order)
real -> YKA (Merged Reading Order, Standard Braille Order)
real -> KPK (Merged Reading Order, Individual Reading Order)
must -> HWHCC (Standard Braille Order, Individual Reading Order)
must -> HGHCC (Individual Reading Order, Standard Braille Order)
line -> ESHK (Standard Braille Order, Merged Reading Order)
line -> FBBK (Individual Reading Order, Standard Braille Order)
line -> KWHB (Individual Reading Order, Merged Reading Order)
line -> MBBB (Merged Reading Order, Standard Braille Order)
line -> KWHB (Merged Reading Order, Individual Reading Order)
did -> FBBF (Standard Braille Order, Individual Reading Order)
send -> INGGHE (Individual Reading Order, Merged Reading Order)
send -> ARSHIN (Merged Reading Order, Standard Braille Order)
send -> INGGHE (Merged Reading Order, Individual Reading Order)
using -> WHEAAND (Individual Reading Order, Merged Reading Order)
using -> WHEAAND (Merged Reading Order, Individual Reading Order)
forum -> FORWHH (Standard Braille Order, Individual Reading Order)
forum -> OFBQ (Standard Braille Order, Merged Reading Order)
forum -> FORGHH (Individual Reading Order, Standard Braille Order)
forum -> ANDCQ (Individual Reading Order, Merged Reading Order)
forum -> PANDD (Merged Reading Order, Standard Braille Order)
forum -> ANDCQ (Merged Reading Order, Individual Reading Order)
even -> KFFING (Standard Braille Order, Merged Reading Order)
even -> OUEAWH (Merged Reading Order, Standard Braille Order)
much -> HWHCH (Standard Braille Order, Individual Reading Order)
much -> HGHCH (Individual Reading Order, Standard Braille Order)
link -> ECO (Standard Braille Order, Merged Reading Order)
link -> FBBB (Individual Reading Order, Standard Braille Order)
link -> KEL (Individual Reading Order, Merged Reading Order)
link -> MLEA (Merged Reading Order, Standard Braille Order)
link -> KEL (Merged Reading Order, Individual Reading Order)
open -> MFFU (Standard Braille Order, Merged Reading Order)
open -> HSGH (Individual Reading Order, Merged Reading Order)
open -> OUHCH (Merged Reading Order, Standard Braille Order)
open -> HSGH (Merged Reading Order, Individual Reading Order)
south -> FFXED (Standard Braille Order, Individual Reading Order)
south -> GGXSH (Standard Braille Order, Merged Reading Order)
south -> JXZ (Individual Reading Order, Standard Braille Order)
south -> THEOUWH (Individual Reading Order, Merged Reading Order)
south -> TSHGG (Merged Reading Order, Standard Braille Order)
south -> THEOUWH (Merged Reading Order, Individual Reading Order)
both -> KDED (Standard Braille Order, Individual Reading Order)
both -> CLZ (Individual Reading Order, Standard Braille Order)
both -> VWHEN (Individual Reading Order, Merged Reading Order)
both -> VWHEN (Merged Reading Order, Individual Reading Order)
power -> ERZSH (Standard Braille Order, Merged Reading Order)
power -> YVWH (Individual Reading Order, Merged Reading Order)
power -> YVWH (Merged Reading Order, Individual Reading Order)
care -> BJC (Standard Braille Order, Individual Reading Order)
care -> EFFK (Individual Reading Order, Standard Braille Order)
care -> KJBB (Merged Reading Order, Standard Braille Order)
down -> YOWIN (Individual Reading Order, Merged Reading Order)
down -> YOWIN (Merged Reading Order, Individual Reading Order)
him -> MBBH (Standard Braille Order, Individual Reading Order)
without -> WITHXT (Standard Braille Order, Individual Reading Order)
without -> WITHXT (Individual Reading Order, Standard Braille Order)
without -> OWFORN (Individual Reading Order, Merged Reading Order)
without -> WXQ (Merged Reading Order, Standard Braille Order)
without -> OWFORN (Merged Reading Order, Individual Reading Order)
think -> HIFF (Standard Braille Order, Merged Reading Order)
think -> ZBBB (Individual Reading Order, Standard Braille Order)
think -> KSF (Merged Reading Order, Standard Braille Order)
big -> KBBP (Standard Braille Order, Individual Reading Order)
law -> OATHE (Standard Braille Order, Individual Reading Order)
law -> UWHCH (Standard Braille Order, Merged Reading Order)
law -> GHUCH (Individual Reading Order, Merged Reading Order)
law -> GHUCH (Merged Reading Order, Individual Reading Order)
shop -> GHDR (Standard Braille Order, Individual Reading Order)
shop -> WHLG (Individual Reading Order, Standard Braille Order)
shop -> ANDINS (Individual Reading Order, Merged Reading Order)
shop -> VTHEI (Merged Reading Order, Standard Braille Order)
shop -> ANDINS (Merged Reading Order, Individual Reading Order)
old -> DOF (Standard Braille Order, Individual Reading Order)
old -> LFO (Individual Reading Order, Standard Braille Order)
old -> VOWB (Individual Reading Order, Merged Reading Order)
old -> RGHK (Merged Reading Order, Standard Braille Order)
old -> VOWB (Merged Reading Order, Individual Reading Order)
main -> HABB (Individual Reading Order, Standard Braille Order)
card -> BJF (Standard Braille Order, Individual Reading Order)
card -> EFFO (Individual Reading Order, Standard Braille Order)
card -> KWBB (Merged Reading Order, Standard Braille Order)
job -> SDK (Standard Braille Order, Individual Reading Order)
job -> ARLC (Individual Reading Order, Standard Braille Order)
job -> SNEA (Individual Reading Order, Merged Reading Order)
job -> THEIB (Merged Reading Order, Standard Braille Order)
job -> SNEA (Merged Reading Order, Individual Reading Order)
too -> TDD (Standard Braille Order, Individual Reading Order)
too -> FFEDO (Standard Braille Order, Merged Reading Order)
too -> TLL (Individual Reading Order, Standard Braille Order)
too -> STHL (Individual Reading Order, Merged Reading Order)
too -> SPL (Merged Reading Order, Standard Braille Order)
too -> STHL (Merged Reading Order, Individual Reading Order)
join -> BBEDIN (Standard Braille Order, Merged Reading Order)
join -> ARLBB (Individual Reading Order, Standard Braille Order)
join -> ITHBB (Individual Reading Order, Merged Reading Order)
join -> ISL (Merged Reading Order, Standard Braille Order)
join -> ITHBB (Merged Reading Order, Individual Reading Order)
west -> THECCC (Standard Braille Order, Individual Reading Order)
west -> OWDST (Individual Reading Order, Merged Reading Order)
west -> IINGF (Merged Reading Order, Standard Braille Order)
west -> OWDST (Merged Reading Order, Individual Reading Order)
team -> INGFK (Individual Reading Order, Merged Reading Order)
team -> ARXA (Merged Reading Order, Standard Braille Order)
team -> INGFK (Merged Reading Order, Individual Reading Order)
box -> KDOU (Standard Braille Order, Individual Reading Order)
box -> CLOU (Individual Reading Order, Standard Braille Order)
gay -> PAER (Standard Braille Order, Individual Reading Order)
gay -> NAOF (Individual Reading Order, Standard Braille Order)
gay -> PINGU (Merged Reading Order, Standard Braille Order)
start -> CCJT (Standard Braille Order, Individual Reading Order)
start -> CCFFT (Individual Reading Order, Standard Braille Order)
air -> ABBN (Standard Braille Order, Individual Reading Order)
yes -> ERCFF (Standard Braille Order, Individual Reading Order)
yes -> VJH (Standard Braille Order, Merged Reading Order)
yes -> OFKJ (Individual Reading Order, Standard Braille Order)
yes -> EDARM (Individual Reading Order, Merged Reading Order)
yes -> GHXF (Merged Reading Order, Standard Braille Order)
yes -> EDARM (Merged Reading Order, Individual Reading Order)
hot -> MDT (Standard Braille Order, Individual Reading Order)
hot -> UERIN (Standard Braille Order, Merged Reading Order)
hot -> MLT (Individual Reading Order, Standard Braille Order)
hot -> GHYBB (Individual Reading Order, Merged Reading Order)
hot -> GHYBB (Merged Reading Order, Individual Reading Order)
cost -> BDCC (Standard Braille Order, Individual Reading Order)
cost -> ELCC (Individual Reading Order, Standard Braille Order)
cost -> BTHEEA (Merged Reading Order, Standard Braille Order)
march -> HJCH (Standard Braille Order, Individual Reading Order)
march -> HFFCH (Individual Reading Order, Standard Braille Order)
march -> KGEN (Merged Reading Order, Standard Braille Order)
say -> FFAER (Standard Braille Order, Individual Reading Order)
say -> GGCHWH (Standard Braille Order, Merged Reading Order)
say -> JAOF (Individual Reading Order, Standard Braille Order)
say -> THECHU (Individual Reading Order, Merged Reading Order)
say -> THECHU (Merged Reading Order, Individual Reading Order)
going -> FTHEGH (Merged Reading Order, Standard Braille Order)
test -> TCCC (Standard Braille Order, Individual Reading Order)
test -> TKCC (Individual Reading Order, Standard Braille Order)
test -> OWDK (Individual Reading Order, Merged Reading Order)
test -> IXB (Merged Reading Order, Standard Braille Order)
test -> OWDK (Merged Reading Order, Individual Reading Order)
cart -> BJT (Standard Braille Order, Individual Reading Order)
cart -> EFFT (Individual Reading Order, Standard Braille Order)
cart -> CHWITHBB (Merged Reading Order, Standard Braille Order)
staff -> CCAAR (Standard Braille Order, Individual Reading Order)
staff -> CCAS (Individual Reading Order, Standard Braille Order)
things -> EDCCT (Standard Braille Order, Merged Reading Order)
things -> THSTT (Individual Reading Order, Merged Reading Order)
things -> CHWITHD (Merged Reading Order, Standard Braille Order)
things -> THSTT (Merged Reading Order, Individual Reading Order)
tax -> TAOU (Standard Braille Order, Individual Reading Order)
tax -> GGBWH (Standard Braille Order, Merged Reading Order)
tax -> TAOU (Individual Reading Order, Standard Braille Order)
tax -> THECU (Individual Reading Order, Merged Reading Order)
tax -> SXCH (Merged Reading Order, Standard Braille Order)
tax -> THECU (Merged Reading Order, Individual Reading Order)
got -> PDT (Standard Braille Order, Individual Reading Order)
got -> VERIN (Standard Braille Order, Merged Reading Order)
got -> NLT (Individual Reading Order, Standard Braille Order)
got -> EDYBB (Individual Reading Order, Merged Reading Order)
got -> EDTHEL (Merged Reading Order, Standard Braille Order)
got -> EDYBB (Merged Reading Order, Individual Reading Order)
let -> OCT (Standard Braille Order, Individual Reading Order)
let -> UTHE (Standard Braille Order, Merged Reading Order)
let -> FKT (Individual Reading Order, Standard Braille Order)
let -> GHZK (Individual Reading Order, Merged Reading Order)
let -> EDUBB (Merged Reading Order, Standard Braille Order)
let -> GHZK (Merged Reading Order, Individual Reading Order)
park -> RJE (Standard Braille Order, Individual Reading Order)
park -> GCO (Standard Braille Order, Merged Reading Order)
park -> GFFB (Individual Reading Order, Standard Braille Order)
park -> NEL (Individual Reading Order, Merged Reading Order)
park -> MQEA (Merged Reading Order, Standard Braille Order)
park -> NEL (Merged Reading Order, Individual Reading Order)
act -> ABT (Standard Braille Order, Individual Reading Order)
act -> AET (Individual Reading Order, Standard Braille Order)
key -> ECER (Standard Braille Order, Individual Reading Order)
key -> BKOF (Individual Reading Order, Standard Braille Order)
few -> LCTHE (Standard Braille Order, Individual Reading Order)
age -> APC (Standard Braille Order, Individual Reading Order)
age -> ANK (Individual Reading Order, Standard Braille Order)
hard -> MJF (Standard Braille Order, Individual Reading Order)
hard -> MFFO (Individual Reading Order, Standard Braille Order)
hard -> ZTHEA (Individual Reading Order, Merged Reading Order)
hard -> ZTHEA (Merged Reading Order, Individual Reading Order)
pay -> RAER (Standard Braille Order, Individual Reading Order)
pay -> OFCHWH (Standard Braille Order, Merged Reading Order)
pay -> GAOF (Individual Reading Order, Standard Braille Order)
pay -> ANDCHU (Individual Reading Order, Merged Reading Order)
pay -> ANDCHU (Merged Reading Order, Individual Reading Order)
four -> LXN (Standard Braille Order, Individual Reading Order)
four -> DXP (Individual Reading Order, Standard Braille Order)
four -> POFIN (Individual Reading Order, Merged Reading Order)
four -> FORSTFF (Merged Reading Order, Standard Braille Order)
four -> POFIN (Merged Reading Order, Individual Reading Order)
offer -> YLAND (Standard Braille Order, Individual Reading Order)
offer -> YOFGH (Standard Braille Order, Merged Reading Order)
offer -> ANDDY (Individual Reading Order, Standard Braille Order)
offer -> OFANDSH (Individual Reading Order, Merged Reading Order)
offer -> FORWHX (Merged Reading Order, Standard Braille Order)
offer -> OFANDSH (Merged Reading Order, Individual Reading Order)
fax -> LAOU (Standard Braille Order, Individual Reading Order)
fax -> DAOU (Individual Reading Order, Standard Braille Order)
china -> CHBBA (Individual Reading Order, Standard Braille Order)
china -> KEAI (Merged Reading Order, Standard Braille Order)
yet -> ERCT (Standard Braille Order, Individual Reading Order)
yet -> VWH (Standard Braille Order, Merged Reading Order)
yet -> OFKT (Individual Reading Order, Standard Braille Order)
yet -> GHXP (Merged Reading Order, Standard Braille Order)
areas -> ENFFE (Standard Braille Order, Merged Reading Order)
sun -> FFWHG (Standard Braille Order, Individual Reading Order)
sun -> GGCHN (Standard Braille Order, Merged Reading Order)
sun -> JGHR (Individual Reading Order, Standard Braille Order)
sun -> THECHR (Individual Reading Order, Merged Reading Order)
sun -> SANDIN (Merged Reading Order, Standard Braille Order)
sun -> THECHR (Merged Reading Order, Individual Reading Order)
share -> GHJC (Standard Braille Order, Individual Reading Order)
share -> WHFFK (Individual Reading Order, Standard Braille Order)
share -> KJS (Merged Reading Order, Standard Braille Order)
run -> NWHG (Standard Braille Order, Individual Reading Order)
run -> ZGHN (Standard Braille Order, Merged Reading Order)
run -> PGHR (Individual Reading Order, Standard Braille Order)
run -> VSHR (Individual Reading Order, Merged Reading Order)
run -> PVO (Merged Reading Order, Standard Braille Order)
run -> VSHR (Merged Reading Order, Individual Reading Order)
net -> GCT (Standard Braille Order, Individual Reading Order)
net -> VWE (Standard Braille Order, Merged Reading Order)
net -> RKT (Individual Reading Order, Standard Braille Order)
net -> GHXL (Merged Reading Order, Standard Braille Order)
term -> TANDH (Standard Braille Order, Individual Reading Order)
term -> WITHPD (Standard Braille Order, Merged Reading Order)
term -> TYH (Individual Reading Order, Standard Braille Order)
term -> WITHGO (Individual Reading Order, Merged Reading Order)
term -> TYH (Merged Reading Order, Standard Braille Order)
term -> WITHGO (Merged Reading Order, Individual Reading Order)
put -> RWHT (Standard Braille Order, Individual Reading Order)
put -> VWHN (Standard Braille Order, Merged Reading Order)
put -> GGHT (Individual Reading Order, Standard Braille Order)
put -> EDUR (Individual Reading Order, Merged Reading Order)
put -> EDANDIN (Merged Reading Order, Standard Braille Order)
put -> EDUR (Merged Reading Order, Individual Reading Order)
try -> TNER (Standard Braille Order, Individual Reading Order)
try -> GGANDZ (Standard Braille Order, Merged Reading Order)
try -> TPOF (Individual Reading Order, Standard Braille Order)
try -> THEERV (Individual Reading Order, Merged Reading Order)
try -> TANDV (Merged Reading Order, Standard Braille Order)
try -> THEERV (Merged Reading Order, Individual Reading Order)
god -> PDF (Standard Braille Order, Individual Reading Order)
god -> NLO (Individual Reading Order, Standard Braille Order)
god -> ANDTHEA (Individual Reading Order, Merged Reading Order)
god -> POWL (Merged Reading Order, Standard Braille Order)
god -> ANDTHEA (Merged Reading Order, Individual Reading Order)
least -> CHKE (Standard Braille Order, Merged Reading Order)
least -> CHBK (Individual Reading Order, Merged Reading Order)
least -> CHBK (Merged Reading Order, Individual Reading Order)
log -> ODP (Standard Braille Order, Individual Reading Order)
log -> ZTHK (Standard Braille Order, Merged Reading Order)
log -> FLN (Individual Reading Order, Standard Braille Order)
log -> VZB (Individual Reading Order, Merged Reading Order)
log -> ANDGHBB (Merged Reading Order, Standard Braille Order)
log -> VZB (Merged Reading Order, Individual Reading Order)
cars -> BJFF (Standard Braille Order, Individual Reading Order)
cars -> EFFJ (Individual Reading Order, Standard Braille Order)
cars -> THINBB (Individual Reading Order, Merged Reading Order)
cars -> CHWITHEA (Merged Reading Order, Standard Braille Order)
cars -> THINBB (Merged Reading Order, Individual Reading Order)
fun -> LWHG (Standard Braille Order, Individual Reading Order)
fun -> OFCHAR (Standard Braille Order, Merged Reading Order)
fun -> DGHR (Individual Reading Order, Standard Braille Order)
fun -> ANDCHFF (Individual Reading Order, Merged Reading Order)
fun -> PTHEIN (Merged Reading Order, Standard Braille Order)
fun -> ANDCHFF (Merged Reading Order, Individual Reading Order)
arts -> JTFF (Standard Braille Order, Individual Reading Order)
arts -> OWTO (Standard Braille Order, Merged Reading Order)
arts -> FFTJ (Individual Reading Order, Standard Braille Order)
lot -> ODT (Standard Braille Order, Individual Reading Order)
lot -> UTHO (Standard Braille Order, Merged Reading Order)
lot -> FLT (Individual Reading Order, Standard Braille Order)
lot -> GHZL (Individual Reading Order, Merged Reading Order)
lot -> EDVBB (Merged Reading Order, Standard Braille Order)
lot -> GHZL (Merged Reading Order, Individual Reading Order)
ask -> AFFE (Standard Braille Order, Individual Reading Order)
ask -> AJB (Individual Reading Order, Standard Braille Order)
ask -> OEABB (Individual Reading Order, Merged Reading Order)
ask -> OEABB (Merged Reading Order, Individual Reading Order)
past -> RACC (Standard Braille Order, Individual Reading Order)
past -> VAE (Standard Braille Order, Merged Reading Order)
past -> GACC (Individual Reading Order, Standard Braille Order)
past -> EDAK (Individual Reading Order, Merged Reading Order)
past -> EDAK (Merged Reading Order, Individual Reading Order)
due -> FWHC (Standard Braille Order, Individual Reading Order)
due -> RENST (Standard Braille Order, Merged Reading Order)
